movie;year;address
"+27: Social Innovators of South Africa";2014;Cape Town, South Africa
"+27: Social Innovators of South Africa";2014;Johannesburg, South Africa
"...e le stelle stanno a guardare";1971;Massa Marittima, Grosseto, Tuscany, Italy
"...e le stelle stanno a guardare";1971;Punta Ala, Castiglione della Pescaia, Grosseto, Tuscany, Italy
"01-For London";1987;London, England, UK
"0511 Sondersendung zu Theaterformen";2007;Hannover, Lower Saxony, Germany
"0511 TV Lokal";2007;Hannover, Lower Saxony, Germany
"07 zglos sie";1976;Warsaw, Mazowieckie, Poland
"0800 no llames";2005;Buenos Aires, Federal District, Argentina
"099 Central";2002;Buenos Aires, Federal District, Argentina
"1 Gay 5 Queens";2013;West Hollywood, California, USA
"1 Non Blonde";2010;New Zealand
"1 chan KNB";2007;Toyama, Japan
"1 vs 100";2007;Central City Studios, Melbourne, Victoria, Australia
"1-2-3 Istanbul!";2009;Burgas, Bulgaria
"1-2-3 Istanbul!";2009;Istanbul, Turkey
"1-2-3 Istanbul!";2009;Ljubljana, Slovenia
"1-2-3 Istanbul!";2009;Medugorje, Bosnia-Herzegovina
"1-2-3 Istanbul!";2009;Mostar, Bosnia-Herzegovina
"1-2-3 Istanbul!";2009;Sarajevo, Bosnia-Herzegovina
"1-2-3 Istanbul!";2009;Shkoder, Albania
"1-2-3 Istanbul!";2009;Skopje, Macedonia
"1-2-3 Istanbul!";2009;Tirana, Albania
"1-2-3 Istanbul!";2009;Zagreb, Croatia
"1-2-3 Moskau!";2008;Berlin, Germany
"1-2-3 Moskau!";2008;Moscow, Russia
"1-2-3 Moskau!";2008;Novgorod, Russia
"1-2-3 Moskau!";2008;Riga, Latvia
"1-2-3 Moskau!";2008;Tallinn, Estonia
"1-2-3 Moskau!";2008;Vilnius, Vilnius County, Lithuania
"1-2-3 Moskau!";2008;Warsaw, Mazowieckie, Poland
"1-800-Missing";2003;Riverdale Collegiate Institute, Toronto, Ontario, Canada
"1-800-Missing";2003;Toronto, Ontario, Canada
"1/4 Mermaid";2015;Los Angeles, California, USA
"1/4 Mermaid";2015;Cypress, California, USA
"10 Days to War";2008;Inglis Barracks, Mill Hill, London, England, UK
"10 Days to War";2008;Jordan
"10 Films, 1 Box";2014;Los Angeles, California, USA
"10 Great Reasons";2008;Los Angeles, California, USA
"10 Great Reasons";2008;New York City, New York, USA
"10 Items or Less";2006;Reseda, Los Angeles, California, USA
"10 Seconds";1993;Opryland - 2800 Opryland Drive, Nashville, Tennessee, USA
"10 Steps to Better Healthcare: A Guide for Chinese-American Seniors";2010;Los Angeles, California, USA
"10 Things I Hate About You";2009;Los Angeles, California, USA
"10 Things I Hate";2012;Washington, USA
"10 Things I Hate";2012;Steilacoom, Washington, USA
"10 Things I Hate";2012;Los Angles, California, USA
"10 Things You Must Know";2006;Edina, Minnesota, USA
"10 Things You Must Know";2006;Minneapolis, Minnesota, USA
"10 Years of Monkey Business";2007;Dorset, England, UK
"10 om te zien";1989;Blankenberge, Belgium
"10 om te zien";1989;Leuven, Belgium
"10,000 BC";2015;Bulgaria
"10-8: Officers on Duty";2003;California, USA
"10-8: Officers on Duty";2003;USA
"10-8: Officers on Duty";2003;Los Angeles Police Department, Highland Park Station - 6045 York Blvd, Los Angeles, California, USA
"10-8: Officers on Duty";2003;Los Angeles, California, USA
"10.5";2004;Hollywood Sign, Hollywood Hills, Los Angeles, California, USA
"10.5";2004;Vancouver, British Columbia, Canada
"100 Bullets D'Argento";2012;Rome, Lazio, Italy
"100 Centre Street";2001;New York City, New York, USA
"100 Days of Summer";2013;Chicago, Illinois, USA
"100 Deeds for Eddie McDowd";1999;Azusa, California, USA
"100 Deeds for Eddie McDowd";1999;Los Angeles, California, USA
"100 Deeds for Eddie McDowd";1999;Sierra Madre, California, USA
"100 Deeds for Eddie McDowd";1999;Ventura Farms - 235 W. Potrero Road, Thousand Oaks, California, USA
"100 Frogs";2015;Bronx, New York City, New York, USA
"100 Frogs";2015;Manhattan, New York City, New York, USA
"100 Greatest Artists of Hard Rock";2000;Los Angeles, California, USA
"100 Greatest Artists of Hard Rock";2000;New York, USA
"100 Greatest Discoveries";2004;Baltimore, Maryland, USA
"100 Greatest Discoveries";2004;Old Town, Alexandria, Virginia, USA
"100 Greatest Discoveries";2004;Prince Georges County, Maryland, USA
"100 Greatest Discoveries";2004;Staunton, Virginia, USA
"100 Greatest Discoveries";2004;Washington, District of Columbia, USA
"100 Greatest Stand-Ups of All Time";2004;Hollywood, Los Angeles, California, USA
"100 Latinos Dijeron";2013;Los Angeles, California, USA
"100 Nen Interview";2007;Tokyo, Japan
"100 Proof";2004;Los Angeles, California, USA
"100 Proof";2004;Miami, Florida, USA
"100 Proof";2004;New York City, New York, USA
"100 Winners";2007;Los Angeles, California, USA
"100 mexicanos dijeron";2001;Mexico
"100 mexicanos dijieron";2009;Mexico City, Distrito Federal, Mexico
"100% mujer";2003;Mexico
"1000 millones";2002;Buenos Aires, Federal District, Argentina
"1000 millones";2002;Punta del Este, Maldonado, Uruguay
"1001 Tardes";1995;Lisbon, Portugal
"1001 Things You Should Know";2012;Glasgow, Scotland, UK
"1002 Momentos de la tele";2012;Buenos Aires, Federal District, Argentina
"101 Cars You Must Drive";2008;California, USA
"101 Cars You Must Drive";2008;Florida, USA
"101 Dates";2010;Wellington, New Zealand
"101 Ways to Get Rejected";2013;Palos Verdes High School, California, USA
"101 Ways to Leave a Gameshow";2010;Tigre, Buenos Aires Province, Argentina
"101";2002;Hadassah Har Hatsofim Medical Center, Jerusalem, Israel
"101";2002;Jerusalem, Israel
"101-kai me no puropozu";1991;Irima-cho, Chofu, Tokyo, Japan
"106 & Park Top 10 Live";2000;Park Avenue and East 106th Street, Harlem, New York City, New York, USA
"106 & Park Top 10 Live";2000;CBS Broadcast Center, Manhattan, New York City, New York, USA
"1066";2009;Yorkshire, England, UK
"10th World Championships in Athletics Helsinki 2005";2005;Helsinki Olympic Stadium, Helsinki, Finland
"10x10";1989;UK
"11 Cameras";2006;Toronto, Ontario, Canada
"11.22.63";2016;Cambridge, Ontario, Canada
"11.22.63";2016;Orono, Ontario, Canada
"11.22.63";2016;Dealey Plaza - Elm Street, Dallas, Texas, USA
"11.22.63";2016;Guelph, Ontario, Canada
"11.22.63";2016;Dallas, Texas, USA
"11.22.63";2016;Canada
"11.22.63";2016;USA
"110% Tony Squires";2004;Sydney, New South Wales, Australia
"111 Emergency";2011;Auckland, New Zealand
"11pm";1965;Osaka, Japan
"11pm";1965;Tokyo, Japan
"12 Angry Viewers";1997;MTV Studios, Manhattan, New York City, New York, USA
"12 Miles of Bad Road";2007;Los Angeles, California, USA
"12 Monkeys";2015;Cinespace Studios, Toronto, Ontario, Canada
"12 Monkeys";2015;Vaughan, Ontario, Canada
"12 Monkeys";2015;Toronto, Ontario, Canada
"12 Monkeys";2015;Uxbridge, Ontario, Canada
"12 O'Clock High";1964;20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA
"12 Steps to Recovery";2010;Brooklyn, New York City, New York, USA
"12 Steps to Recovery";2010;New York City, New York, USA
"12 Steps to Recovery";2010;South Orange, New Jersey, USA
"12 Steps to Recovery";2010;Staten Island, New York City, New York, USA
"12 corazones";2003;Buenos Aires, Federal District, Argentina
"12 corazones";2004;Occidental Studios - 201 N. Occidental Boulevard, Los Angeles, California, USA
"12 oz. Mouse";2005;Atlanta, Georgia, USA
"12 to Midnight";2018;Castaic Lake, Castaic Lake State Recreation Area, California, USA
"12th IAAF World Championships in Athletics Berlin 2009";2009;Olympiastadion, Charlottenburg, Berlin, Germany
"13 Reasons Why";2017;Belvedere, California, USA
"13 Reasons Why";2017;Crockett, California, USA
"13 Reasons Why";2017;Martinez, California, USA
"13 Steps Down";2012;Notting Hill, London, England, UK
"13 Steps Down";2012;Ireland
"13 Stories TV Originals";2016;Los Angeles, California, USA
"13 maravillas";2007;Mexico
"138 Escape";2017;Mynydd Isa, Flintshire, Wales, UK
"138 Escape";2017;Sychdyn, Flintshire, Wales, UK
"138 Escape";2017;Liverpool, England, UK
"138 Escape";2017;Manchester, England, UK
"13WHAM News This Morning";2006;Rochester, New York, USA
"13mil";2015;Barcelona, Catalonia, Spain
"13th IAAF World Championships in Athletics Daegu 2011";2011;Daegu Stadium, Daegu, Yeongnam, South Korea
"1491: The Untold Story of the Americas Before Columbus";2017;Victoria, British Columbia, Canada
"1491: The Untold Story of the Americas Before Columbus";2017;Kamloops, British Columbia, Canada
"1491: The Untold Story of the Americas Before Columbus";2017;Peru
"15 Films About Madonna";2006;Havana, Cuba
"15 Films About Madonna";2006;New York, USA
"15 Films About Madonna";2006;South Africa
"15 Films About Madonna";2006;Tokyo, Japan
"16 Kids and Counting";2013;Morecambe, Lancashire, England, UK
"16+";2005;Laeken, Belgium
"16th Annual American Century Championship";2005;Edgewood Tahoe Golf Course - Highway 50 at Lake Parkway, Stateline, Nevada, USA
"17 - o poveste despre destin";2008;Romania
"17 - o poveste despre destin";2008;Bucharest, Romania
"17th Annual American Century Championship";2006;Edgewood Tahoe Golf Course - Highway 50 at Lake Parkway, Stateline, Nevada, USA
"18 Wheels of Justice";2000;San Diego, California, USA
"18 i +";2006;Barcelona, Catalonia, Spain
"1810";2009;Pirque, Chile
"1812: El mar de la libertad";2006;Argentina
"1812: El mar de la libertad";2006;Brazil
"1812: El mar de la libertad";2006;Chile
"1812: El mar de la libertad";2006;Colombia
"1812: El mar de la libertad";2006;Ecuador
"1812: El mar de la libertad";2006;Greenland
"1812: El mar de la libertad";2006;Italy
"1812: El mar de la libertad";2006;Mexico
"1812: El mar de la libertad";2006;Russia
"1812: El mar de la libertad";2006;Spain
"1863";2013;Fairmont, West Virginia, USA
"1864";2014;Czech Republic
"18:30";1995;Berlin, Germany
"19.43";2016;Amiens, Somme, France
"19.43";2016;Creuse, Somme, France
"19.43";2016;Vignacourt, Somme, France
"19.43";2016;Beauvais, Oise, France
"190 North";1999;Chicago, Illinois, USA
"1915";1982;Forbes, New South Wales, Australia
"1915";1982;Quandialla, New South Wales, Australia
"1916 Seachtar Dearmadta";2013;Kilmainham Jail, Dublin, County Dublin, Ireland
"1916 Seachtar Dearmadta";2013;Galway, Ireland
"1920. Wojna i milosc";2011;Jaroslaw, Podkarpackie, Poland
"1920. Wojna i milosc";2011;Market Square, Jaroslaw, Podkarpackie, Poland
"1920. Wojna i milosc";2011;Sanok, Podkarpackie, Poland
"1920. Wojna i milosc";2011;Swilcza, Podkarpackie, Poland
"1920. Wojna i milosc";2011;Tatarska, Jaroslaw, Podkarpackie, Poland
"1920. Wojna i milosc";2011;Warsaw, Mazowieckie, Poland
"1922";1984;South Africa
"1947 World Series";1947;Ebbets Field, Brooklyn, New York City, New York, USA
"1947 World Series";1947;Yankee Stadium - E. 161st Street & River Avenue, Bronx, New York City, New York, USA
"1957 World Series";1957;Milwaukee County Stadium - 201 South 46th Street, Milwaukee, Wisconsin, USA
"1957 World Series";1957;Yankee Stadium - E. 161st Street & River Avenue, Bronx, New York City, New York, USA
"1966 World Series";1966;Dodger Stadium - 1000 Vin Scully Avenue, Chavez Ravine, Elysian Park, Los Angeles, California, USA
"1966 World Series";1966;Memorial Stadium - 1000 E. 33rd Street, Baltimore, Maryland, USA
"1967 World Series";1967;Busch Stadium - 250 Stadium Plaza, St. Louis, Missouri, USA
"1967 World Series";1967;Fenway Park - 4 Yawkey Way, Boston, Massachusetts, USA
"1971 World Series";1971;Memorial Stadium - 1000 E. 33rd Street, Baltimore, Maryland, USA
"1971 World Series";1971;Three Rivers Stadium - 600 Stadium Circle, Pittsburgh, Pennsylvania, USA
"1975 World Series";1975;Riverfront Stadium - 100 Riverfront Stadium, Cincinnati, Ohio, USA
"1976 World Series";1976;Riverfront Stadium - 100 Riverfront Stadium, Cincinnati, Ohio, USA
"1976 World Series";1976;Yankee Stadium - E. 161st Street & River Avenue, Bronx, New York City, New York, USA
"1984 World Series";1984;Tiger Stadium - 2121 Trumbull Avenue, Detroit, Michigan, USA
"1984";2013;Canberra, Australian Capital Territory, Australia
"1985 World Series";1985;Busch Stadium - 250 Stadium Plaza, St. Louis, Missouri, USA
"1986 World Series";1986;Fenway Park - 4 Yawkey Way, Boston, Massachusetts, USA
"1986 World Series";1986;Shea Stadium - 12301 Roosevelt Avenue, Flushing Meadows Park, Queens, New York City, New York, USA
"1994 Olympic Winter Games";1994;Lillehammer, Norway
"1997 NBA Western Conference Finals";1997;Delta Center - 300 W. South Temple Street, Salt Lake City, Utah, USA
"1997 NBA Western Conference Finals";1997;The Summit - 10 Greenwood Plaza, Houston, Texas, USA
"1LIVE Talk mit Frau Heinrich";2011;Cologne, North Rhine-Westphalia, Germany
"1PW Television";2006;Doncaster, South Yorkshire, England, UK
"1PW Television";2006;Lincoln, Lincolnshire, England, UK
"1PW Television";2006;The Doncaster Dome, Doncaster, South Yorkshire, England, UK
"1PW Television";2006;UK
"1st & Ten";1984;Los Angeles, California, USA
"1st Amendment Stand Up";2005;Atlanta, Georgia, USA
"1st Look";2008;Chicago, Illinois, USA
"1st Look";2008;Hong Kong, China
"1st Look";2008;London, England, UK
"1st Look";2008;Los Angeles, California, USA
"1st Look";2008;Mammoth Lakes, California, USA
"1st Look";2008;New York City, New York, USA
"1st Look";2008;Puerto Rico
"1st Look";2008;San Diego, California, USA
"1st Look";2008;San Francisco, California, USA
"1st Look";2008;Telluride, Colorado, USA
"1stLook LA";2008;Los Angeles, California, USA
"2 Awkward Dudes";2014;New York City, New York, USA
"2 Broke Girls";2011;Los Angeles, California, USA
"2 Broke Girls";2011;Stage 18, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
"2 Dudes Catering";2007;Los Angeles, California, USA
"2 Dy a Ni";2008;Pontypridd, Rhondda Cynon Taff, Wales, UK
"2 Girls, 1 Cup: The Show";2008;Los Angeles, California, USA
"2 Guys and a Couch";2013;Los Angeles, California, USA
"2 Hollywood";2011;Brussels, Brussels-Capital, Belgium
"2 Hollywood";2011;Hollywood, Los Angeles, California, USA
"2 Hopeful Spinsters";2013;Los Angeles, California, USA
"2 Live Stews";2005;Atlanta, Georgia, USA
"2 Redheads";2014;Chicago, Illinois, USA
"2 Shot the Show";2012;New York City, New York, USA
"2 di Picche";2014;Turin, Piedmont, Italy
"2 straten verder";1999;Diest, Belgium
"2 straten verder";1999;Lier, Belgium
"2 straten verder";1999;Westerlo, Belgium
"2 vrouwen, 3 miljard mannen";2003;Cape Town, Western Cape, South Africa
"2 vrouwen, 3 miljard mannen";2003;Edinburgh, Scotland, UK
"2 vrouwen, 3 miljard mannen";2003;Jamaica
"2 vrouwen, 3 miljard mannen";2003;Sydney, New South Wales, Australia
"2 x 2";2013;Nador, Morocco
"2+Leif";2009;Kulturbrauerei, Prenzlauer Berg, Berlin, Germany
"2+Leif";2009;Landesvertretungen Rheinland-Pfalz, Berlin, Germany
"20 Dakika";2013;Istanbul, Turkey
"20 NOTHiNGS";2018;Los Angeles, California, USA
"20 Questions";1949;New York City, New York, USA
"20 Second Movie Reviews";2008;Munster, Indiana, USA
"20 Years of Independence";2011;Skopje, Macedonia
"20 Years on MTV";2001;Berlin, Germany
"20, Geboren op de dag dat de muur viel";2009;Berlin, Germany
"20, Geboren op de dag dat de muur viel";2009;Leipzig, Saxony, Germany
"20,000 Leagues Under the Sea";1997;Australia
"20,000 Leagues Under the Sea";1997;Village Roadshow Studios, Oxenford, Queensland, Australia
"20-e dekabrya";1982;Kronshtadt, St. Petersburg, Russia
"20-e dekabrya";1982;Neva River, St. Petersburg, Russia
"20-e dekabrya";1982;St. Petersburg, Russia
"200 Ecos";2010;Guadalajara, Jalisco, Mexico
"200 Million Years Old Classmate";2017;Beijing, China
"200 Million Years Old Classmate";2017;Qingdao, China
"200.000 voor Antwerpen";1959;Antwerp, Flanders, Belgium
"2000 Malibu Road";1992;Malibu, California, USA
"2002 FIFA World Cup";2002;Busan Asiad Stadium, Busan, South Korea
"2002 FIFA World Cup";2002;Daegu Stadium, Daegu, Yeongnam, South Korea
"2002 FIFA World Cup";2002;Daejeon World Cup Stadium, Daejeon, South Korea
"2002 FIFA World Cup";2002;Guus Hiddink Stadium, Gwangju, South Korea
"2002 FIFA World Cup";2002;Incheon Munhak Stadium, Incheon, South Korea
"2002 FIFA World Cup";2002;Japan
"2002 FIFA World Cup";2002;Jeju World Cup Stadium, Seogwipo, Cheju Island, South Korea
"2002 FIFA World Cup";2002;Jeonju World Cup Stadium, Jeonju, South Korea
"2002 FIFA World Cup";2002;Kashima Stadium, Kashima, Japan
"2002 FIFA World Cup";2002;Kobe Wing Stadium, Kobe, Hyogo, Japan
"2002 FIFA World Cup";2002;Miyagi Stadium, Rifu, Miyagi, Japan
"2002 FIFA World Cup";2002;Munsu Cup Stadium, Ulsan, South Korea
"2002 FIFA World Cup";2002;Nagai Stadium, Osaka, Japan
"2002 FIFA World Cup";2002;Niigata Stadium, Niigata, Japan
"2002 FIFA World Cup";2002;Nissan Stadium, Yokohama, Kanagawa, Japan
"2002 FIFA World Cup";2002;Oita Stadium, Oita, Japan
"2002 FIFA World Cup";2002;Saitama Stadium, Midori-ku, Saitama City, Saitama, Japan
"2002 FIFA World Cup";2002;Sapporo Dome, Sapporo, Hokkaido, Japan
"2002 FIFA World Cup";2002;Seoul World Cup Stadium, Seongsan 2-dong, Mapo-gu, Seoul, South Korea
"2002 FIFA World Cup";2002;Shizuoka Ecopa Stadium, Fukuroi, Japan
"2002 FIFA World Cup";2002;Suwon World Cup Stadium, Suwon, South Korea
"2004 Jammys: The Theatre at Madison Square Garden";2004;Manhattan, New York City, New York, USA
"2004 World Series";2004;Baghdad, Iraq
"2004 World Series";2004;Boston, Massachusetts, USA
"2004 World Series";2004;Busch Stadium - 250 Stadium Plaza, St. Louis, Missouri, USA
"2004 World Series";2004;Fenway Park - 4 Yawkey Way, Boston, Massachusetts, USA
"2004 World Series";2004;New York City, New York, USA
"2004 World Series";2004;St. Louis, Missouri, USA
"2005 World Figure Skating Championships";2005;Moscow, Russia
"2006 FIFA World Cup";2006;AOL Arena, Hamburg, Germany
"2006 FIFA World Cup";2006;AWD-Arena, Hannover, Lower Saxony, Germany
"2006 FIFA World Cup";2006;Allianz Arena, Munich, Bavaria, Germany
"2006 FIFA World Cup";2006;Arena AufSchalke, Gelsenkirchen, North Rhine-Westphalia, Germany
"2006 FIFA World Cup";2006;Commerzbank-Arena, Frankfurt am Main, Hessen, Germany
"2006 FIFA World Cup";2006;Frankenstadion, Nuremberg, Bavaria, Germany
"2006 FIFA World Cup";2006;Fritz-Walter-Stadion, Kaiserslautern, Rhineland-Palatinate, Germany
"2006 FIFA World Cup";2006;Germany
"2006 FIFA World Cup";2006;Olympiastadion, Charlottenburg, Berlin, Germany
"2006 FIFA World Cup";2006;RheinEnergieStadion, Cologne, North Rhine-Westphalia, Germany
"2006 FIFA World Cup";2006;Westfalenstadion, Dortmund, North Rhine-Westphalia, Germany
"2006 FIFA World Cup";2006;Zentralstadion, Leipzig, Saxony, Germany
"2007 LG Action Sports World Championships";2007;Dallas, Texas, USA
"2007 World Series of Poker";2007;Las Vegas, Nevada, USA
"2007 World Series: Boston Red Sox vs. Colorado Rockies";2007;Boston, Massachusetts, USA
"2007 World Series: Boston Red Sox vs. Colorado Rockies";2007;Coors Field - 2001 Blake Street, Denver, Colorado, USA
"2007 World Series: Boston Red Sox vs. Colorado Rockies";2007;Denver, Colorado, USA
"2007 World Series: Boston Red Sox vs. Colorado Rockies";2007;Fenway Park - 4 Yawkey Way, Boston, Massachusetts, USA
"2008 UEFA European Football Championship";2008;Ernst-Happel-Stadion, Vienna, Austria
"2008 UEFA European Football Championship";2008;St Jakob Stadium, Basel, Kanton Basel Stadt, Switzerland
"2008 UEFA European Football Championship";2008;Stade de Suisse Wankdorf, Bern, Kanton Bern, Switzerland
"2008 UEFA European Football Championship";2008;Stadion Salzburg Wals-Siezenheim, Salzburg, Salzburg, Austria
"2008 UEFA European Football Championship";2008;Stadion Tivoli NEU, Innsbruck, Tyrol, Austria
"2008 World Series of Poker";2008;Las Vegas, Nevada, USA
"2009 World Series of Poker";2009;Las Vegas, Nevada, USA
"2009: A True Story";2008;Los Angeles, California, USA
"2010 FIFA World Cup";2010;Cape Town Stadium, Cape Town, Western Cape, South Africa
"2010 FIFA World Cup";2010;Ellis Park Stadium, Johannesburg, South Africa
"2010 FIFA World Cup";2010;FNB Stadium, Johannesburg, South Africa
"2010 FIFA World Cup";2010;Free State Stadium, Bloemfontein, Free State, South Africa
"2010 FIFA World Cup";2010;Loftus Versfeld Stadium, Pretoria, South Africa
"2010 FIFA World Cup";2010;Mbombela Stadium, Nelspruit, Mpumalanga, South Africa
"2010 FIFA World Cup";2010;Moses Mabhida Stadium, Durban, KwaZulu-Natal, South Africa
"2010 FIFA World Cup";2010;Nelson Mandela Bay Stadium - 70 Prince Alfred Road, North End, Port Elizabeth, Eastern Cape, South Africa
"2010 FIFA World Cup";2010;Peter Mokaba Stadium, Polokwane, Limpopo, South Africa
"2010 FIFA World Cup";2010;Royal Bafokeng Stadium, Phokeng, South Africa
"2010 World Series";2010;AT&T Park, San Francisco, California, USA
"2010 World Series";2010;Globe Life Park in Arlington - 1000 Ballpark Way, Arlington, Texas, USA
"2011 Stanley Cup Finals";2011;Boston, Massachusetts, USA
"2011 Stanley Cup Finals";2011;Rogers Arena - 800 Griffiths Way, Vancouver, British Columbia, Canada
"2011 Stanley Cup Finals";2011;TD Banknorth Garden - 100 Legends Way, Boston, Suffolk, Massachusetts, USA
"2011 Stanley Cup Finals";2011;Vancouver, British Columbia, Canada
"2011 World Series";2011;Busch Stadium - 700 Clark Street, St, Louis, Missouri, USA
"2011 World Series";2011;Globe Life Park in Arlington - 1000 Ballpark Way, Arlington, Texas, USA
"2012 Stanley Cup Finals";2012;Staples Center - 1111 S. Figueroa Street, Downtown, Los Angeles, California, USA
"2012 Stanley Cup Finals";2012;Prudential Center, Newark, New Jersey, USA
"2012 UEFA European Football Championship";2012;National Stadium, Warsaw, Mazowieckie, Poland
"2012 UEFA European Football Championship";2012;PGE Arena, Gdansk, Pomorskie, Poland
"2012 UEFA European Football Championship";2012;Stadion Miejski, Wroclaw, Dolnoslaskie, Poland
"2012 UEFA European Football Championship";2012;Stadion Miejski, Poznan, Wielkopolskie, Poland
"2012 UEFA European Football Championship";2012;Olympic Stadium, Kiev, Ukraine
"2012 UEFA European Football Championship";2012;Donass Arena Stadium, Donetsk, Ukraine
"2012 UEFA European Football Championship";2012;Metalist Stadium, Kharkiv, Ukraine
"2012 UEFA European Football Championship";2012;Arena Lviv, Lviv, Ukraine
"2012 World Series";2012;AT&T Park, San Francisco, California, USA
"2012 World Series";2012;Comerica Park - 2100 Woodward Avenue, Detroit, Michigan, USA
"2012 the Webseries";2011;Guatemala City, Guatemala
"2012 the Webseries";2011;Toronto, Ontario, Canada
"2013 Aussie Millions Poker Championship";2013;Crown Casino, Melbourne, Victoria, Australia
"2013 WSOP Asia Pacific";2013;Crown Casino, Melbourne, Victoria, Australia
"2013 World Series";2013;Busch Stadium - 700 Clark Street, St, Louis, Missouri, USA
"2013 World Series";2013;Fenway Park - 4 Yawkey Way, Boston, Massachusetts, USA
"2014 American League Championship Series";2014;Oriole Park at Camden Yards - 333 W. Camden Street, Baltimore, Maryland, USA
"2014 American League Championship Series";2014;Kauffman Stadium - 1 Royal Way, Kansas City, Missouri, USA
"2014 Stanley Cup Finals";2014;Felt Forum, Madison Square Garden - 4 Pennsylvania Plaza, Manhattan, New York City, New York, USA
"2014 Stanley Cup Finals";2014;Staples Center - 1111 S. Figueroa Street, Downtown, Los Angeles, California, USA
"2014";2013;Glasgow, Scotland, UK
"2015 Stanley Cup Finals";2015;United Center - 1901 W. Madison Street, Near West Side, Chicago, Illinois, USA
"2015 Stanley Cup Finals";2015;Amalie Arena - 401 Channelside Drive, Tampa, Florida, USA
"2015 World Women's Curling Championship";2015;Tsukisamu Gymnasium - 8, Tsukisamu Higashi 1, Toyohira, Sapporo City, Hokkaido, Japan
"2016 IHeartRadio Music Festival";2016;Las Vegas, Nevada, USA
"2016 Under-17 Women's NTC Invitational";2016;U.S. Soccer National Training Center, Carson, California, USA
"2016 World Series";2016;Wrigley Field - 1060 W. Addison St., Lake View, Chicago, Illinois, USA
"2016 World Series";2016;Progressive Field - 2401 Ontario Street, Cleveland, Ohio, USA
"2020 Summer Olympics";2020;Tokyo, Japan
"2020 Summer Paralympics";2020;Tokyo, Japan
"2020";2013;Warsaw, Mazowieckie, Poland
"2020";2013;Vancouver, British Columbia, Canada
"2030 CE";2002;Winnipeg, Manitoba, Canada
"2030";2015;Tbilisi, Georgia
"2040";2014;New York City, New York, USA
